,temp_pi_t0,hum_pi_t0,PM1_pi_t0,PM2.5_pi_t0,PM10_pi_t0,wind_speed_t0,temp_pi_t1,hum_pi_t1,PM1_pi_t1,PM2.5_pi_t1,PM10_pi_t1,wind_speed_t1,temp_pi_t2,hum_pi_t2,PM1_pi_t2,PM2.5_pi_t2,PM10_pi_t2,wind_speed_t2,temp_pi_t3,hum_pi_t3,PM1_pi_t3,PM2.5_pi_t3,PM10_pi_t3,wind_speed_t3,temp_pi_t4,hum_pi_t4,PM1_pi_t4,PM2.5_pi_t4,PM10_pi_t4,wind_speed_t4,temp_pi_t5,hum_pi_t5,PM1_pi_t5,PM2.5_pi_t5,PM10_pi_t5,wind_speed_t5,PM2.5_pi,PM10_pi
380,9.183333333333334,36.93333333333333,3.323333333333333,7.331666666666668,11.555,12.0694,6.29090909090909,42.64545454545455,3.1245454545454545,8.465454545454547,14.241818181818182,14.081477,4.460000000000001,46.73,2.115,4.067,6.062,13.324863,3.525,48.03333333333333,2.289166666666667,5.073333333333333,8.008333333333335,11.525623,3.0727272727272723,47.74545454545454,1.981818181818182,4.818181818181819,7.85,10.948973,3.1500000000000004,48.4625,2.43625,6.5875,11.08,11.753877,7.761666666666666,12.28
381,11.025,34.08333333333333,3.4775000000000005,7.761666666666666,12.28,11.620809,9.183333333333334,36.93333333333333,3.323333333333333,7.331666666666668,11.555,12.0694,6.29090909090909,42.64545454545455,3.1245454545454545,8.465454545454547,14.241818181818182,14.081477,4.460000000000001,46.73,2.115,4.067,6.062,13.324863,3.525,48.03333333333333,2.289166666666667,5.073333333333333,8.008333333333335,11.525623,3.0727272727272723,47.74545454545454,1.981818181818182,4.818181818181819,7.85,10.948973,8.236666666666666,12.618333333333334
382,16.666666666666668,27.20833333333333,4.0183333333333335,8.236666666666666,12.618333333333334,10.495713,11.025,34.08333333333333,3.4775000000000005,7.761666666666666,12.28,11.620809,9.183333333333334,36.93333333333333,3.323333333333333,7.331666666666668,11.555,12.0694,6.29090909090909,42.64545454545455,3.1245454545454545,8.465454545454547,14.241818181818182,14.081477,4.460000000000001,46.73,2.115,4.067,6.062,13.324863,3.525,48.03333333333333,2.289166666666667,5.073333333333333,8.008333333333335,11.525623,7.918181818181818,12.120000000000005
383,18.18181818181818,25.027272727272724,3.87,7.918181818181818,12.120000000000005,10.00256,16.666666666666668,27.20833333333333,4.0183333333333335,8.236666666666666,12.618333333333334,10.495713,11.025,34.08333333333333,3.4775000000000005,7.761666666666666,12.28,11.620809,9.183333333333334,36.93333333333333,3.323333333333333,7.331666666666668,11.555,12.0694,6.29090909090909,42.64545454545455,3.1245454545454545,8.465454545454547,14.241818181818182,14.081477,4.460000000000001,46.73,2.115,4.067,6.062,13.324863,8.312499999999998,13.065833333333336
384,18.183333333333334,25.53333333333333,3.793333333333333,8.312499999999998,13.065833333333336,2.0991426,18.18181818181818,25.027272727272724,3.87,7.918181818181818,12.120000000000005,10.00256,16.666666666666668,27.20833333333333,4.0183333333333335,8.236666666666666,12.618333333333334,10.495713,11.025,34.08333333333333,3.4775000000000005,7.761666666666666,12.28,11.620809,9.183333333333334,36.93333333333333,3.323333333333333,7.331666666666668,11.555,12.0694,6.29090909090909,42.64545454545455,3.1245454545454545,8.465454545454547,14.241818181818182,14.081477,8.873333333333333,14.105833333333331
385,18.241666666666664,25.941666666666663,3.920833333333334,8.873333333333333,14.105833333333331,3.96,18.183333333333334,25.53333333333333,3.793333333333333,8.312499999999998,13.065833333333336,2.0991426,18.18181818181818,25.027272727272724,3.87,7.918181818181818,12.120000000000005,10.00256,16.666666666666668,27.20833333333333,4.0183333333333335,8.236666666666666,12.618333333333334,10.495713,11.025,34.08333333333333,3.4775000000000005,7.761666666666666,12.28,11.620809,9.183333333333334,36.93333333333333,3.323333333333333,7.331666666666668,11.555,12.0694,6.526666666666666,9.4925
386,15.175,29.13333333333333,3.584166666666667,6.526666666666666,9.4925,2.968636,18.241666666666664,25.941666666666663,3.920833333333334,8.873333333333333,14.105833333333331,3.96,18.183333333333334,25.53333333333333,3.793333333333333,8.312499999999998,13.065833333333336,2.0991426,18.18181818181818,25.027272727272724,3.87,7.918181818181818,12.120000000000005,10.00256,16.666666666666668,27.20833333333333,4.0183333333333335,8.236666666666666,12.618333333333334,10.495713,11.025,34.08333333333333,3.4775000000000005,7.761666666666666,12.28,11.620809,7.178333333333334,11.612500000000002
387,11.9,34.78333333333334,3.0175,7.178333333333334,11.612500000000002,3.6179552,15.175,29.13333333333333,3.584166666666667,6.526666666666666,9.4925,2.968636,18.241666666666664,25.941666666666663,3.920833333333334,8.873333333333333,14.105833333333331,3.96,18.183333333333334,25.53333333333333,3.793333333333333,8.312499999999998,13.065833333333336,2.0991426,18.18181818181818,25.027272727272724,3.87,7.918181818181818,12.120000000000005,10.00256,16.666666666666668,27.20833333333333,4.0183333333333335,8.236666666666666,12.618333333333334,10.495713,4.707500000000001,7.884166666666666
388,10.5,40.3,1.7641666666666669,4.707500000000001,7.884166666666666,5.8048253,11.9,34.78333333333334,3.0175,7.178333333333334,11.612500000000002,3.6179552,15.175,29.13333333333333,3.584166666666667,6.526666666666666,9.4925,2.968636,18.241666666666664,25.941666666666663,3.920833333333334,8.873333333333333,14.105833333333331,3.96,18.183333333333334,25.53333333333333,3.793333333333333,8.312499999999998,13.065833333333336,2.0991426,18.18181818181818,25.027272727272724,3.87,7.918181818181818,12.120000000000005,10.00256,6.418181818181819,10.016363636363636
389,10.000000000000002,43.77272727272727,2.983636363636364,6.418181818181819,10.016363636363636,10.00256,10.5,40.3,1.7641666666666669,4.707500000000001,7.884166666666666,5.8048253,11.9,34.78333333333334,3.0175,7.178333333333334,11.612500000000002,3.6179552,15.175,29.13333333333333,3.584166666666667,6.526666666666666,9.4925,2.968636,18.241666666666664,25.941666666666663,3.920833333333334,8.873333333333333,14.105833333333331,3.96,18.183333333333334,25.53333333333333,3.793333333333333,8.312499999999998,13.065833333333336,2.0991426,4.824545454545455,7.21
