time,temp_pi,hum_pi,PM1_pi,PM2.5_pi,PM10_pi,temp_blue,precip,hum_blue,wind_speed,wind_direction,cloud_cover,date,temp_sbs,hum_sbs,wind,pressure,PM2.5,PM10,AQI,sunrise,noon,sunset,daylight
2021-03-24 00:00:00+01:00,6.516666666666666,61.90833333333334,5.3549999999999995,9.979166666666666,14.669166666666667,4.3563137,0.0,63.0,5.6920996,161.56505,0.0,2021-03-24,1.0,75.0,2.7,1025.0,8.0,12.4,33.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 01:00:00+01:00,5.825,64.63333333333334,5.0633333333333335,7.956666666666667,10.690833333333336,3.9063133999999997,0.0,60.0,5.5887027,165.06857,0.0,2021-03-24,1.0,75.0,2.7,1025.0,8.0,12.4,33.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 02:00:00+01:00,5.358333333333332,64.89166666666665,6.549166666666668,12.6975,19.00166666666667,3.5063136,0.0,57.0,4.452954,165.96376,0.0,2021-03-24,0.0,80.0,2.3,1025.0,10.0,13.7,41.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 03:00:00+01:00,4.9818181818181815,66.10909090909091,6.809090909090909,12.583636363636366,18.43,3.1563133999999997,0.0,54.0,4.5107870000000005,151.38953999999998,0.0,2021-03-24,0.0,80.0,2.3,1025.0,9.0,12.9,37.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 04:00:00+01:00,4.383333333333333,70.3,6.949166666666667,13.833333333333334,20.941666666666666,2.8363134999999997,0.0,51.0,3.7064266000000003,150.94539,0.0,2021-03-24,-1.0,93.0,2.1,1025.0,10.0,13.7,41.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 05:00:00+01:00,4.091666666666667,70.10833333333333,5.889166666666667,9.75,13.501666666666667,2.4663136000000003,0.0,51.0,3.319036,130.60128999999998,0.0,2021-03-24,-1.0,93.0,2.1,1025.0,10.0,13.7,41.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 06:00:00+01:00,3.766666666666667,71.24166666666666,5.922499999999999,11.2875,16.764166666666664,2.1163135,0.0,53.0,3.6,126.869896,0.0,2021-03-24,-1.0,86.0,1.7,1025.0,10.0,13.6,41.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 07:00:00+01:00,3.9499999999999997,71.90833333333335,7.237500000000001,16.155,25.565833333333334,1.8763136000000002,0.0,54.0,2.7416782000000004,113.19859,0.0,2021-03-24,-1.0,86.0,1.7,1025.0,10.0,14.8,41.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 08:00:00+01:00,4.675000000000002,70.61666666666666,7.764166666666665,16.538333333333338,25.721666666666668,1.8263135,0.0,58.0,1.9386592,68.19859,0.0,2021-03-24,-1.0,86.0,2.3,1025.0,,14.8,13.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 09:00:00+01:00,5.3999999999999995,66.85000000000001,5.1375,10.0925,15.194166666666668,3.0363135,0.0,61.0,1.0182338,44.999984999999995,0.0,2021-03-24,-1.0,86.0,2.3,1025.0,14.0,19.9,55.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 10:00:00+01:00,9.65,51.25833333333333,6.526666666666666,12.531666666666666,18.675833333333333,5.8063135,0.0,57.0,2.4149535,26.565033000000003,0.0,2021-03-24,4.0,75.0,1.7,1026.0,18.0,25.2,63.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 11:00:00+01:00,13.875,41.175000000000004,4.1899999999999995,8.119166666666667,12.147499999999999,8.526314,0.0,52.0,3.7585104,16.69925,0.0,2021-03-24,4.0,75.0,1.7,1026.0,14.0,,55.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 12:00:00+01:00,17.916666666666668,34.65833333333334,5.2075000000000005,8.620833333333334,11.94,10.746313,0.0,47.0,2.5959969,33.690063,0.0,2021-03-24,9.0,49.0,3.7,1025.0,15.0,22.9,57.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 13:00:00+01:00,21.0,31.05,5.0758333333333345,9.01,12.940833333333336,12.316314,0.0,43.0,2.0364676,44.999984999999995,0.0,2021-03-24,9.0,49.0,3.7,1025.0,17.0,26.0,61.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 14:00:00+01:00,22.291666666666668,28.766666666666666,5.661666666666666,11.119166666666667,16.734166666666667,13.566314000000002,0.0,40.0,1.5273507,44.999984999999995,0.0,2021-03-24,12.0,43.0,7.4,1024.0,11.0,18.9,45.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 15:00:00+01:00,24.34166666666667,25.5,4.7375,7.969166666666666,11.135833333333332,13.706313,0.0,37.0,0.5091169,315.0,0.0,2021-03-24,12.0,43.0,7.4,1024.0,10.0,16.1,41.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 16:00:00+01:00,19.691666666666663,31.10833333333333,4.259166666666666,7.618333333333333,10.981666666666667,13.986314000000002,0.0,37.0,1.9386592,248.1986,0.0,2021-03-24,14.0,38.0,3.7,1023.0,13.0,18.6,53.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 17:00:00+01:00,15.566666666666668,38.85833333333334,6.690833333333334,15.308333333333332,24.435833333333335,14.036313,0.0,37.0,1.8,270.0,0.0,2021-03-24,14.0,38.0,3.7,1023.0,11.0,15.5,45.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
2021-03-24 18:00:00+01:00,14.766666666666666,41.724999999999994,5.7174999999999985,11.828333333333331,18.19,13.856314000000001,0.0,39.0,2.968636,255.96376,0.0,2021-03-24,15.0,33.0,3.7,1022.0,10.0,14.3,41.0,2021-03-24 06:20:51.887903+01:00,2021-03-24 12:32:09+01:00,2021-03-24 18:44:01.863618+01:00,0 days 12:23:09.975715
