hour_t0,temp_pi_t0,hum_pi_t0,wind_speed_t0,precip_t0,PM2.5_pi_t0,PM10_pi_t0,hour_t1,temp_pi_t1,hum_pi_t1,wind_speed_t1,precip_t1,PM2.5_pi_t1,PM10_pi_t1,hour_t2,temp_pi_t2,hum_pi_t2,wind_speed_t2,precip_t2,PM2.5_pi_t2,PM10_pi_t2,hour_t3,temp_pi_t3,hum_pi_t3,wind_speed_t3,precip_t3,PM2.5_pi_t3,PM10_pi_t3,hour_t4,temp_pi_t4,hum_pi_t4,wind_speed_t4,precip_t4,PM2.5_pi_t4,PM10_pi_t4,hour_t5,temp_pi_t5,hum_pi_t5,wind_speed_t5,precip_t5,PM2.5_pi_t5,PM10_pi_t5,PM2.5_pi,PM10_pi
9.0,8.316666666666666,53.28333333333333,5.1165614,0.0,11.798333333333334,17.71,10.0,13.408333333333331,38.35833333333333,6.924738400000001,0.0,10.01,15.38833333333333,11.0,17.391666666666666,32.19166666666666,7.421589999999999,0.0,7.510833333333333,9.632500000000002,12.0,18.65,30.08333333333333,6.9527545,0.0,6.064166666666668,8.284166666666666,13.0,19.98333333333333,28.125,11.269782,0.0,10.0425,15.749999999999998,14.0,17.624999999999996,30.933333333333337,9.826088,0.0,9.652500000000002,15.223333333333334,6.641,9.477
12.0,18.65,30.08333333333333,6.9527545,0.0,6.064166666666668,8.284166666666666,13.0,19.98333333333333,28.125,11.269782,0.0,10.0425,15.749999999999998,14.0,17.624999999999996,30.933333333333337,9.826088,0.0,9.652500000000002,15.223333333333334,15.0,13.99,35.77,8.209263,0.0,6.641,9.477,16.0,12.683333333333332,37.73333333333333,8.496304499999999,0.0,10.465000000000002,16.7625,17.0,11.616666666666664,40.35,7.754637,0.0,6.039999999999999,9.553333333333336,7.1475,10.535
15.0,13.99,35.77,8.209263,0.0,6.641,9.477,16.0,12.683333333333332,37.73333333333333,8.496304499999999,0.0,10.465000000000002,16.7625,17.0,11.616666666666664,40.35,7.754637,0.0,6.039999999999999,9.553333333333336,18.0,10.425,42.9,6.162207,0.0,7.1475,10.535,19.0,9.416666666666668,45.20833333333334,4.1046314,0.0,7.878333333333334,12.093333333333332,20.0,8.466666666666667,49.61666666666667,7.8954163,0.0,8.685833333333333,12.543333333333337,8.777500000000002,13.442499999999995
18.0,10.425,42.9,6.162207,0.0,7.1475,10.535,19.0,9.416666666666668,45.20833333333334,4.1046314,0.0,7.878333333333334,12.093333333333332,20.0,8.466666666666667,49.61666666666667,7.8954163,0.0,8.685833333333333,12.543333333333337,21.0,7.566666666666667,53.98333333333333,6.849467,0.0,8.777500000000002,13.442499999999995,22.0,6.8500000000000005,57.15833333333333,6.151683,0.0,9.145833333333334,12.6725,23.0,6.516666666666666,61.90833333333334,5.6920996,0.0,9.979166666666666,14.669166666666667,7.956666666666667,10.690833333333336
21.0,7.566666666666667,53.98333333333333,6.849467,0.0,8.777500000000002,13.442499999999995,22.0,6.8500000000000005,57.15833333333333,6.151683,0.0,9.145833333333334,12.6725,23.0,6.516666666666666,61.90833333333334,5.6920996,0.0,9.979166666666666,14.669166666666667,0.0,5.825,64.63333333333334,5.5887027,0.0,7.956666666666667,10.690833333333336,1.0,5.358333333333332,64.89166666666665,4.452954,0.0,12.6975,19.00166666666667,2.0,4.9818181818181815,66.10909090909091,4.5107870000000005,0.0,12.583636363636366,18.43,13.833333333333334,20.941666666666663
0.0,5.825,64.63333333333334,5.5887027,0.0,7.956666666666667,10.690833333333336,1.0,5.358333333333332,64.89166666666665,4.452954,0.0,12.6975,19.00166666666667,2.0,4.9818181818181815,66.10909090909091,4.5107870000000005,0.0,12.583636363636366,18.43,3.0,4.383333333333333,70.3,3.7064266,0.0,13.833333333333334,20.941666666666663,4.0,4.091666666666667,70.10833333333333,3.319036,0.0,9.75,13.501666666666669,5.0,3.766666666666667,71.24166666666666,3.6,0.0,11.2875,16.764166666666664,16.155,25.56583333333333
3.0,4.383333333333333,70.3,3.7064266,0.0,13.833333333333334,20.941666666666663,4.0,4.091666666666667,70.10833333333333,3.319036,0.0,9.75,13.501666666666669,5.0,3.766666666666667,71.24166666666666,3.6,0.0,11.2875,16.764166666666664,6.0,3.95,71.90833333333335,2.7416782000000004,0.0,16.155,25.56583333333333,7.0,4.675000000000002,70.61666666666666,1.9386592,0.0,16.538333333333338,25.721666666666668,8.0,5.4,66.85000000000001,1.0182338,0.0,10.0925,15.194166666666668,12.531666666666666,18.675833333333333
6.0,3.95,71.90833333333335,2.7416782000000004,0.0,16.155,25.56583333333333,7.0,4.675000000000002,70.61666666666666,1.9386592,0.0,16.538333333333338,25.721666666666668,8.0,5.4,66.85000000000001,1.0182338,0.0,10.0925,15.194166666666668,9.0,9.65,51.25833333333333,2.4149535,0.0,12.531666666666666,18.675833333333333,10.0,13.875,41.175,3.7585104,0.0,8.119166666666667,12.1475,11.0,17.916666666666668,34.65833333333334,2.5959969,0.0,8.620833333333334,11.94,9.01,12.940833333333336
9.0,9.65,51.25833333333333,2.4149535,0.0,12.531666666666666,18.675833333333333,10.0,13.875,41.175,3.7585104,0.0,8.119166666666667,12.1475,11.0,17.916666666666668,34.65833333333334,2.5959969,0.0,8.620833333333334,11.94,12.0,21.0,31.05,2.0364676,0.0,9.01,12.940833333333336,13.0,22.291666666666668,28.766666666666666,1.5273507,0.0,11.119166666666668,16.734166666666667,14.0,24.34166666666667,25.5,0.5091169,0.0,7.969166666666666,11.135833333333332,7.618333333333333,10.981666666666667
12.0,21.0,31.05,2.0364676,0.0,9.01,12.940833333333336,13.0,22.291666666666668,28.766666666666666,1.5273507,0.0,11.119166666666668,16.734166666666667,14.0,24.34166666666667,25.5,0.5091169,0.0,7.969166666666666,11.135833333333332,15.0,19.691666666666663,31.10833333333333,1.9386592,0.0,7.618333333333333,10.981666666666667,16.0,15.566666666666668,38.85833333333334,1.8,0.0,15.308333333333332,24.43583333333333,17.0,14.766666666666666,41.725,2.968636,0.0,11.828333333333331,18.19,12.035833333333333,17.04
